point_id,lat,lng,distance_km
98,51.8000823233,-4.9319812941,165.899131738
99,51.844978181,-4.93489993558,167.158168262
100,51.8898735764,-4.93782619082,168.55617616
101,51.9347685093,-4.94076008616,170.089728752
102,51.9796629794,-4.94370164803,171.755195357
103,50.3199549938,-4.76962545536,200.370017301
104,50.3648686407,-4.77224081741,197.275125493
105,50.4097818393,-4.77486282287,194.259636681
106,50.4546945891,-4.77749149375,191.327305287
107,50.49960689,-4.78012685222,188.482012547
108,50.5445187418,-4.7827689205,185.727758719
109,50.5894301441,-4.78541772094,183.068652871
110,51.6671683563,-4.85106851159,158.044560135
111,51.7120684449,-4.85389318703,158.89434947
112,51.7569680777,-4.85672521322,159.896046226
113,51.8018672544,-4.8595646155,161.046815876
114,51.8467659749,-4.8624114193,162.343488348
115,51.8916642387,-4.86526565019,163.782598325
116,51.9365620457,-4.86812733386,165.360427005
117,51.9814593956,-4.8709964961,167.073044278
118,50.3665224923,-4.70202142452,193.341744407
119,50.4114383154,-4.70457722227,190.263925734
120,50.4563536947,-4.70713951773,187.269038394
121,50.50126863,-4.70970833247,184.361124009
122,50.5461831211,-4.71228368817,181.544361937
123,50.5910971679,-4.71486560661,178.823059633
124,50.63601077,-4.71745410969,176.201640065
125,50.6809239273,-4.72004921938,173.684625879
126,51.6689003887,-4.77885890682,153.106622915
127,51.7138032524,-4.78161227557,153.983665646
128,51.7587056657,-4.7843728102,155.017097737
129,51.8036076284,-4.78714053539,156.203815242
130,51.8485091403,-4.78991547595,157.540354199
131,51.8934102012,-4.79269765681,159.022937045
132,51.9383108107,-4.795487103,160.647520403
133,51.9832109688,-4.79828383969,162.409843041
134,52.028110675,-4.80108789215,164.305472891
135,50.3681339861,-4.63179555543,189.458663362
136,50.4130523666,-4.634285124,186.316710007
137,50.4579703082,-4.63678102244,183.257326547
138,50.5028878106,-4.63928327177,180.284716597
139,50.5478048737,-4.64179189311,177.403242201
140,50.5927214973,-4.64430690768,174.617415078
141,50.6376376811,-4.64682833681,171.931884634
142,50.682553425,-4.64935620192,169.351422371
143,50.7274687288,-4.65189052452,166.880902335
144,51.1765975128,-4.67759371749,149.306894067
145,51.6705880666,-4.70664216076,148.172848298
146,51.7154936344,-4.70932419826,149.07891963
147,51.7603987572,-4.71201321663,150.146114113
148,51.8053034348,-4.71470923993,151.371023939
149,51.8502076669,-4.71741229233,152.74985497
150,51.8951114534,-4.72012239811,154.278480349
151,51.940014794,-4.72283958166,155.952495343
152,51.9849176885,-4.72556386752,157.767271983
153,52.0298201366,-4.7282952803,159.718012178
154,52.0747221382,-4.73103384475,161.799798267
155,50.3697031128,-4.56156337743,185.629038986
156,50.4146239837,-4.56398669589,182.421137537
157,50.4595444204,-4.56641617628,179.295294766
158,50.5044644227,-4.56885183907,176.255876584
159,50.5493839903,-4.57129370483,173.307430123
160,50.5943031231,-4.57374179421,170.454676207
161,50.639221821,-4.57619612798,167.70249833
162,50.6841400836,-4.578656727,165.055927647
163,50.7290579109,-4.58112361219,162.520123543
164,51.7620473421,-4.63964661817,145.283896477
165,51.8069546634,-4.6422709154,146.549451997
166,51.8518615444,-4.64490205535,147.973217799
167,51.8967679851,-4.64754006165,149.550675328
168,51.9416739851,-4.65018495805,151.277016748
169,51.9865795443,-4.65283676844,153.147207292
170,52.0314846625,-4.65549551678,155.156045343
171,52.0763893394,-4.65816122718,157.298219035
172,52.121293575,-4.66083392384,159.568358445
173,52.8397011365,-4.70456741313,209.216065109
174,50.3712298635,-4.49132505791,181.856248469
175,50.4161531578,-4.49368210587,178.580588006
176,50.4610760223,-4.49604514774,175.386309949
177,50.505998457,-4.49841420343,172.277941196
178,50.5509204617,-4.50078929294,169.260214841
179,50.5958420362,-4.50317043637,166.338064294
180,50.6407631803,-4.50555765393,163.516613646
181,50.6856838939,-4.5079509659,160.801163688
182,50.7306041767,-4.51035039266,158.197173011
183,50.7755240287,-4.51275595467,155.71023362
184,50.8204434497,-4.51516767251,153.346040572
185,50.8653624394,-4.51758556684,151.110355251
186,50.9102809978,-4.52000965842,149.008962044
187,50.9551991246,-4.52243996811,147.047618391
188,51.0001168196,-4.52487651684,145.231998471
189,51.7636514106,-4.56727320054,140.431355358
190,51.8085613044,-4.56982574818,141.740244366
191,51.853470763,-4.57238495203,143.211829742
192,51.8983797863,-4.5749508351,144.841152589
193,51.9432883741,-4.57752342049,146.622954507
194,51.9881965263,-4.58010273143,148.551748874
195,52.0331042426,-4.58268879124,150.621888843
196,52.0780115228,-4.58528162337,152.827630695
197,52.1229183669,-4.58788125137,155.163191541
198,52.841368388,-4.63041920077,205.875974538
199,52.8862677867,-4.63313807371,209.652684688
200,53.2903425621,-4.65793683937,245.618057039
201,50.3727142295,-4.42108076433,178.143902785
202,50.41763988,-4.42337152197,174.798688224
203,50.4625651052,-4.4256681054,171.5339987
204,50.5074899049,-4.42797053397,168.354518844
205,50.5524142791,-4.43027882714,165.265166688
206,50.5973382276,-4.43259300443,162.271089925
207,50.6422617503,-4.43491308549,159.377658192
208,50.6871848469,-4.43723909004,156.590450653
209,50.7321075173,-4.43957103788,153.91523817
210,50.7770297614,-4.44190894891,151.357959309
211,50.821951579,-4.44425284313,148.924689529
212,50.86687297,-4.44660274062,146.621602967
213,50.9117939342,-4.44895866157,144.454926402
