population,point_id
3896.0,3207
1983.0,4862
4398.0,2342
2025.0,3304
50022.0,4496
41975.0,4866
2241.0,1728
3479.0,1676
1254.0,5369
5513.0,1076
5031.0,3355
48954.0,1831
2224.0,4364
53758.0,1539
2145.0,4916
2049.0,518
6212.0,1680
502.0,2121
927.0,5905
5041.0,2676
315.0,1845
1058.0,4098
148.0,1659
1537.0,20
131854.0,5232
1583.0,330
3560.0,3244
865.0,2437
15830.0,2539
967.0,2750
1128.0,2187
15844.0,1818
446.0,137
1439.0,4500
4697.0,3984
2318.0,4810
3742.0,745
15978.0,5189
4161.0,405
2320.0,6120
101.0,2950
3679.0,4992
11043.0,5957
4986.0,5745
614.0,4606
2430.0,3803
2546.0,1546
11378.0,2997
1285.0,2414
1051.0,1922
10751.0,1854
1612.0,883
2481.0,2636
1135.0,3159
76695.0,2557
1127.0,4630
23623.0,4651
2609.0,2427
21348.0,2032
16566.0,3524
4302.0,4118
80958.0,2890
3588.0,2666
9382.0,1502
318.0,5343
40361.0,382
18486.0,4339
11326.0,2229
7405.0,5288
3245.0,4228
358.0,838
73845.0,3359
18508.0,4695
1860.0,5402
346.0,3350
321.0,3883
354.0,833
2286.0,295
103974.0,1178
604.0,3069
73845.0,3693
104983.0,4865
2541.0,4275
378.0,882
10793.0,3844
790.0,5492
7090.0,1222
17693.0,5042
382.0,1125
114668.0,3569
2336.0,1896
5842.0,2534
10273.0,5426
19837.0,2851
5054.0,563
313.0,5582
12675.0,479
1386.0,3706
100028.0,3899
4853.0,2213
796.0,284
1666.0,5588
197.0,3147
5382.0,4428
4980.0,3857
43879.0,5963
12849.0,442
10053.0,5013
311.0,239
9295.0,31
2767.0,3391
3446.0,1584
806.0,2698
1621.0,2763
749.0,5331
237.0,1308
22204.0,5219
1486.0,5154
1631.0,1887
8159.0,12
3878.0,4032
54325.0,4652
997.0,2118
353.0,324
11769.0,2240
4872.0,5326
5968.0,4778
7307.0,5756
1780.0,1437
951.0,5185
1435.0,2917
2285.0,5137
166.0,1771
888.0,4110
27645.0,1704
5873.0,5024
2486.0,2133
2015.0,3330
451.0,1479
1792.0,1919
8846.0,918
400.0,3019
2605.0,4401
1171.0,4071
50374.0,2145
1848.0,3031
17422.0,2871
6070.0,3696
3900.0,315
12736.0,4664
782.0,4851
252.0,3149
15981.0,4224
702.0,234
1755.0,177
647.0,2031
241.0,1373
6458.0,6012
343.0,1913
17155.0,841
911.0,4995
69502.0,1451
2632.0,1394
696.0,1150
582.0,5536
96651.0,3109
607.0,459
