point_id,lat,lng,distance_km,moj_prison_name
4126,54.0351947234,-1.04059684551,12.3499669467,Full Sutton
1690,51.4296411796,-2.75031251553,12.4575251674,Bristol
4965,51.4647351074,-0.303670054062,12.4646920531,Brixton
5296,51.4589794591,0.0559905692209,12.6379786346,Brixton
2101,51.5659976372,-2.46401183073,12.9384627345,Bristol
4964,51.4197970414,-0.305334255749,13.0010977618,Brixton
4462,53.8975890669,-0.739376603864,13.1065495102,Full Sutton
5295,51.4140505876,0.0539740156931,13.1673269497,Brixton
5038,51.5535437674,-0.228245656307,13.3760438513,Brixton
5235,51.5500792987,-0.0120244497177,13.4732521205,Brixton
4466,54.0772987418,-0.733938125938,13.6301742828,Full Sutton
2097,51.3861735094,-2.4621898455,13.7868994789,Bristol
4966,51.5096727881,-0.302001537895,13.8458857769,Brixton
2203,51.4763486194,-2.39110717385,13.8670905336,Bristol
4548,53.9866191933,-0.660432224008,13.8734147451,Full Sutton
5297,51.5039079271,0.0580123490664,14.0020894489,Brixton
5101,51.3277601971,-0.165193182233,14.0743921884,Brixton
5167,51.3266145666,-0.093471743538,14.105265211,Brixton
1894,51.6102923686,-2.60887537188,14.4784370201,Bristol
2204,51.5213048965,-2.39149240263,14.5474226253,Bristol
1693,51.564501586,-2.75253090091,14.6008167174,Bristol
4547,53.9416929451,-0.661871875422,14.6277692749,Full Sutton
4292,53.8541591913,-0.892712848691,14.693592311,Full Sutton
4123,53.900398083,-1.04368708373,14.7316555552,Full Sutton
4549,54.0315450771,-0.658988647863,14.8651148471,Full Sutton
2202,51.4313919933,-2.39072294176,14.9320090642,Bristol
1997,51.6106447823,-2.53667351824,14.9392145318,Bristol
4376,53.8534340244,-0.816718205643,15.1522818799,Full Sutton
4127,54.0801262336,-1.03956114164,15.1993975642,Full Sutton
4963,51.37485859,-0.306994157664,15.2541318352,Brixton
1689,51.3846870017,-2.74957687551,15.3576895438,Bristol
4298,54.1237385115,-0.885539330176,15.3916104218,Full Sutton
5294,51.3691213129,0.0519626706738,15.3960544957,Brixton
1888,51.3405624857,-2.60529327398,15.6088855307,Bristol
1793,51.6098955557,-2.68107566296,15.6866231633,Bristol
5033,51.3288619281,-0.236919252733,15.7231842919,Brixton
5230,51.3254250436,-0.0217551171674,15.8059639968,Brixton
4382,54.1230061785,-0.809052515541,15.8300872563,Full Sutton
4207,53.8548362399,-0.968710711424,15.8811732512,Full Sutton
1991,51.3409115327,-2.53351595629,16.037216086,Bristol
4038,53.9908465216,-1.11787855086,16.1347974791,Full Sutton
1594,51.4741117254,-2.82303363354,16.1544497334,Bristol
5107,51.5973666162,-0.154347870637,16.3134467626,Brixton
5173,51.5962099413,-0.0822030539303,16.3400898551,Brixton
4213,54.1244222509,-0.962029436324,16.5291161352,Full Sutton
4967,51.5546100834,-0.300328692468,16.674788092,Brixton
1787,51.3401694638,-2.67706906086,16.7356599879,Bristol
2205,51.5662608247,-2.39187863153,16.7618259808,Bristol
4037,53.9459133526,-1.11882667756,16.7878434279,Full Sutton
5298,51.5488359918,0.0600393731222,16.8047170134,Brixton
4546,53.8967663322,-0.663307616499,16.8959057535,Full Sutton
2102,51.6109527948,-2.46447028721,16.9332549472,Bristol
4039,54.035779341,-1.11692783875,16.9950490561,Full Sutton
1593,51.4291586745,-2.82222544118,17.0773224194,Bristol
4461,53.8526607439,-0.740727003035,17.125467507,Full Sutton
4550,54.0764705964,-0.657541132521,17.3052489767,Full Sutton
2201,51.386435018,-2.39033970297,17.4250850649,Bristol
4890,51.4657538941,-0.375615851983,17.4498870134,Brixton
5356,51.4576960342,0.127907744041,17.6235210774,Brixton
4467,54.1222252567,-0.732569218094,17.7279906845,Full Sutton
5039,51.5984789691,-0.22649741508,17.7555217912,Brixton
5236,51.5950089511,-0.0100631492069,17.828867818,Brixton
4889,51.4208142003,-0.377209536692,17.8369995183,Brixton
2096,51.3412166025,-2.46173728918,17.909419088,Bristol
5355,51.4127692127,0.125820771094,18.0069011826,Brixton
1694,51.6094543461,-2.75327420633,18.2349980528,Bristol
4122,53.8554651658,-1.04471157303,18.398958467,Full Sutton
4891,51.5106932057,-0.374018035379,18.4618136094,Brixton
4962,51.3299197532,-0.308649774448,18.6104415068,Brixton
5357,51.5026224484,0.130000125433,18.6260167543,Brixton
1595,51.5640167591,-2.82465631419,18.6983650765,Bristol
5293,51.324191635,0.0499565164371,18.7269455349,Brixton
4036,53.9009798337,-1.11977222834,18.7971190407,Full Sutton
2308,51.4765667739,-2.31911487292,18.8640184517,Bristol
4631,53.9857454191,-0.584203604471,18.8722449077,Full Sutton
4128,54.1250573923,-1.03852260825,18.961057171,Full Sutton
5100,51.2828244215,-0.166984430202,19.019687445,Brixton
5166,51.2816806193,-0.0953329190931,19.0425445176,Brixton
